"Business, economy and labour market > People and work > Employment > Jobs > Whole workforce > Workplace employment by industry and area"
""

Filters:
Year: 2018

"","","","United Kingdom ","Wales ","","Wales "
"","","",".","West Wales and the Valleys ","East Wales ","."
"All industries ","","",33143300,814300,637800,1452100
"All industries ","Agriculture, forestry and fishing ","",402700,25000,16000,41100
"","Production ","",2907900,94500,71200,165700
"","Production ","Mining and quarrying ",56400,1400,500,2000
"","","Manufacturing ",2494200,83500,60100,143600
"","","Electricity, gas, steam and air conditioning supply ",145800,2300,5500,7800
"","","Water supply; sewerage, waste management and remediation activities ",211600,7300,5100,12400
"","Construction ","Construction ",2290100,62300,39500,101800
"","Wholesale, retail, transport, hotels and food ","",8553900,205000,142600,347600
"","Wholesale, retail, transport, hotels and food ","Wholesale and retail trade; repair of motor vehicles and motorcycles ",4635400,114300,76300,190600
"","","Transportation and storage ",1659700,25800,24800,50600
"","","Accommodation and food service activities ",2258800,64900,41500,106400
"","Information and communication ","",1428700,14500,17000,31500
"","Finance and insurance activities ","",1066100,12500,23000,35500
"","Real estate activities ","",560500,13600,11600,25200
"","Professional, scientific and technical activities; administrative and support service activities ","",5943900,86000,101100,187100
"","Professional, scientific and technical activities; administrative and support service activities ","Professional, scientific and technical activities ",3054000,40400,48500,89000
"","","Administrative and support service activities ",2889800,45500,52600,98100
"","Public administration, defence, education and health ","",8047700,257700,177200,434900
"","Public administration, defence, education and health ","Public administration and defence; compulsory social security ",1258200,52500,37200,89600
"","","Education ",2757100,73300,50700,124000
"","","Human health and social work activities ",4032400,131900,89400,221300
"","Other service activities ","",1941200,43300,38500,81800
"","Other service activities ","Arts, entertainment and recreation ",993900,22600,20800,43400
"","","Other industries ",947300,20600,17800,38400


